1,,1,8,5,7,32,37,231,Please correct the following errors,Car Name can not be empty,,,,,,,
2,aaaa,,8,5,7,32,37,231,Please correct the following errors,,Capacity can not be empty,,,,,,
3,aaaa,1,,5,7,32,37,231,Please correct the following errors,,,Weekday can not be empty,,,,,
4,aaaa,1,8,,7,32,37,231,Please correct the following errors,,,,weekend rate can not be empty,,,,
5,aaaa,1,8,5,,32,37,231,Please correct the following errors,,,,,week can not be empty,,,
6,aaaa,1,8,5,7,,37,231,Please correct the following errors,,,,,,GPS can not be empty,,
7,aaaa,1,8,5,7,32,,231,Please correct the following errors,,,,,,,Onstar can not be empty,
8,aaaa,1,8,5,7,32,37,,Please correct the following errors,,,,,,,,SiriusXM can not be empty
9,aaa,1,8,5,7,32,37,231,Please correct the following errors,Your CarName must between 4 and 15 digits,,,,,,,
10, aaaaaaaaaaaaaaaaaa,1,8,5,7,32,37,231,Please correct the following errors,Your CarName must between 4 and 15 digits,,,,,,,
11,aaaa,a,8,5,7,32,37,231,Please correct the following errors,,You just have to enter numbers,,,,,,
12,aaaa,1,a,5,7,32,37,231,Please correct the following errors,,,You just have to enter numbers,,,,,
13,aaaa,1,8,a,7,32,37,231,Please correct the following errors,,,,You just have to enter numbers,,,,
14,aaaa,1,8,5,a,32,37,231,Please correct the following errors,,,,,You just have to enter numbers,,,
15,aaaa,1,8,5,7,a,37,231,Please correct the following errors,,,,,,You just have to enter numbers,,
16,aaaa,1,8,5,7,32,a,231,Please correct the following errors,,,,,,,You just have to enter numbers,
17,aaaa,1,8,5,7,32,37,a,Please correct the following errors,,,,,,,,You just have to enter numbers
18,aaaaa,1,8,5,7,32,37,231,,,,,,,,,
